MUSICA,LINKS,TEXTO
Treze de Dezembro,https://www.vagalume.com.br/djavan/treze-de-dezembro.html,"Treze de  Dezembro Djavan Ária Bem que esta noite eu vi gente chegando Eu vi sapo saltitando E ao longe ouvi o ronco alegre do trovão Alguma coisa forte pra valer Estava para acontecer na região Quando o galo cantou Que o dia raiou eu imaginei É que hoje é treze de dezembro e a treze de dezembro Nasceu nosso rei O nosso rei do baião A maior voz do sertão Filho do sonho de  D.  Sebastião Como fruto do matrimônio Do cometa  Januário Com a estrela  Santana Ao nascer da era do  Aquário No cenário rico das terras de  Exu O mensageiro nu dos orixás É desse treze de dezembro Que eu me lembrarei e sei que não me esquecerei jamais Composição:  Luiz  Gonzaga,  Zé  Dantas -  Letra:  Gilberto  Gil"
Valsa Brasileira,https://www.vagalume.com.br/djavan/valsa-brasileira.html,"Valsa  Brasileira Djavan Ária Vivia a te buscar Porque pensando em ti Corria contra o tempo Eu descartava os dias Em que não te vi Como de um filme A ação que não valeu Rodava as horas pra trás Roubava um pouquinho E ajeitava o meu caminho Pra encostar no teu Subia na montanha Não como anda um corpo Mas um sentimento Eu surpreendia o sol Antes do sol raiar Saltava as noites Sem me refazer E pela porta de trás Da casa vazia Eu ingressaria E te veria Confusa por me ver Chegando assim Mil dias antes de te conhecer Composição:  Edu  Lobo,  Chico  Buarque"
Brigas Nunca Mais,https://www.vagalume.com.br/djavan/brigas-nunca-mais.html,"Brigas  Nunca  Mais Djavan Ária Chegou, sorriu, venceu depois chorou Então fui eu quem consolou sua tristeza Na certeza de que o amor tem dessas fases más E é bom para fazer as pazes, mas Depois fui eu quem dela precisou E ela então me socorreu E o nosso amor mostrou que veio prá ficar Mais uma vez por toda a vida Bom é mesmo amar em paz Brigas nunca mais Composição:  Tom  Jobim,  Vinicius de  Moraes"
Nada a Nos Separar,https://www.vagalume.com.br/djavan/nada-a-nos-separar.html,"Nada a  Nos  Separar Djavan Ária Mais uma vez, vou te esperarmais uma vez, não vou te ver chegare eu tão triste, serei mais tristeporque sei bem, que é vão te esperar Porém minha lembrança, contigo estaráe a esperança, reacenderáe um dia então, junto ao portãonosso lugar, irei te esperar E tú virás de um mundo tristee ficarás pra sempre junto a mime o sol da felicidade, de novo brilharáfeliz serei, feliz serás até o fim Se nossas tristezas, irão terminarsim livre seremos, nada irá nos separar Nossas horas tristes, de paz será enfime as incertezas, direi fim, fim, fime um dia então, junto ao portãonosso lugar, irei te esperar E tú virás de um mundo tristee ficarás pra sempre junto a mime o sol da felicidade, de novo brilharáfeliz serei, feliz serás até o fim Composição:  Romeo  Nunes,  Wayne  Shanklin"
Palco,https://www.vagalume.com.br/djavan/palco.html,"Palco Djavan Ária Subo nesse palco, minha alma cheira a talco Como bumbum de bebê, de bebê Minha aura clara, só quem é clarividente pode ver Pode ver Trago a minha banda, só quem sabe onde é  Luanda Saberá lhe dar valor, dar valor Vale quanto pesa prá quem preza o louco bumbum do tambor Do tambor Fogo eterno prá afugentar O inferno prá outro lugar Fogo eterno prá consumir O inferno, fora daqui Venho para a festa, sei que muitos têm na testa O deus-sol como um sinal, um sinal Eu como devoto trago um cesto de alegrias de quintal De quintal Há também um cântaro, quem manda é  Deus a música Pedindo prá deixar, prá deixar Derramar o bálsamo, fazer o canto, cantar o cantar Lá, lá, iá Composição:  Gilberto  Gil"
Joaninha,https://www.vagalume.com.br/djavan/joaninha.html,"Joaninha Djavan Matizes Tudo passa Enquanto a hora espera Quando ave noturna pia Todos piam, eu espio, Noite fria, na luz guia Do luar, que lugar... Que lugar, que lugar Quando é hora O amor se vai embora Sem saber como seria Mais um dia se recria Na paixão, outro chão, Outra vez, toda vez, Toda vez, toda vez... A vereda é azulada E sofrida a solidão Que sem chão Faz morada no descaminho Bem quando a luz do cacto Reflete ao sol altivo A chuva rompe o pacto Inundando a tarde quente E o prazer que sente a joaninha Quando anda pela flor Ganha um quê de sacrifício e dor Volto a contemplar O firmamento Bruma que o cobria Esvaneceu Cheia de pesar Estrela espia A luz do luar Que a escondeu!...(fonte: site oficial)"
Azedo E Amargo,https://www.vagalume.com.br/djavan/azedo-e-amargo.html,"Azedo e  Amargo Djavan Matizes Ela é chegada Em azedo e amargo Leite com sal E outros bodes Se ela fosse planta seria A comigo-ninguém-pode Em seus cabelos A curva da fita Prende a flor da madrugada Mas nas unhas se vê O quanto é aflita, invocada Por amor Ando por onde for Por você faço o que for Pra viver Deixa vir Diz-me por onde ir Corre atrás Pra não ter dúvidas mais! Verga esse traço Que a induz à solidão Deixa que um abraço Em sua onda de calor A revele, leve, Apta até pra ilusão... Sonho percorrê-la Por estradas vicinais Conhecer por dentro Como a luz nos cafezais Pra contê-la e tê-la Nos lençóis vazios Dos meus ais.(fonte: site oficial)"
Mea-culpa,https://www.vagalume.com.br/djavan/mea-culpa.html,"Mea-culpa Djavan Matizes Eu não digo Que se trate de um amor perdido Resta a chama, mas a hora De fazer o mea-culpa é agora E exibir outros dados Que impliquem outros resultados Com a bênção do perdão Por que não, por que não? Não botei fé Nunca dei margem pra sofrimento Tô atento, mas os dias Com a marca da melancolia São lembrados!... E é possível Que no afã de uma ou outra briga Tenha errado sem perdão Mas quem não, mas quem não? Não sei se o meu rival Descrito como o tal No seu caso de amor Vacilou Não fez o que é Pra se fazer Mas sei que o passado Vem cobrar meu bem, E nessa é um tal de chorar Viver no bar buscando aliviar A dor da solidão, sem ação Só pensando em voltar A sorrir ou chorar Com a vida Que antes parecia rasa e cinza Em verdade Era pão, era vinho, era chão.(fonte: site oficial)"
Imposto,https://www.vagalume.com.br/djavan/imposto.html,"Imposto Djavan Matizes I P V A,  I P T U C P M F forever É tanto imposto Que eu já nem sei!... I S S,  I C M S P I S e  C O F I N S, pra nada... Integração  Social, aonde? Só se for no carnaval Eles nem tchum Mas tu paga tudo São eles os senhores da vez Tu é comum, eles têm fundo Pra acumular, com o respaldo da lei Essa gente não quer nada É praga sem precedente Gente que só sabe fazer Por si, por si Tudo até parece claro À luz do dia Mas claro que é escuso Não pense que é só isso Ainda tem a farra do  I. R. Dinheiro demais! Imposto a mais, desvio a mais E o benefício é um horror Estradas, hospitais, escolas Tsunami a céu aberto, Não está certo. Pra quem vai tanto dinheiro? Vai pro homem que recolhe O imposto Pois o homem que recolhe O imposto É o impostor(fonte: site oficial)"
Matizes,https://www.vagalume.com.br/djavan/matizes.html,"Matizes Djavan Matizes Você vem de longe De outra vida, de outro lugar Se o meu sangue foge É você que acabou de chegar O amor consome Desde quando é só afeição Pois já traz seu nome Como dona do meu coração Mas você se admira De me encontrar Já eu fiquei bem perto De tremular Ficamos sós Perdi a voz Você sorriu Foi quando eu ri também Pensei que morreria... Ainda bem! De puro amor Você tentou amenizar Aquela emoção Apanhando uma pedra no chão Amor não pede nada E o que sente logo exibe Você, mesmo abalada, Tem um encanto Que me inibe Na íris dos meus olhos Mergulhavam seus matizes A planejar o beijo Que o desejo Já exige!(fonte: site oficial)"
Por Uma Vida Em Paz,https://www.vagalume.com.br/djavan/por-uma-vida-em-paz.html,"Por  Uma  Vida  Em  Paz Djavan Matizes Não sei bem o que dizer Sobre o mal na  Terra: Acho que amor hesitou! A devastação da mata Traz morte e medo As guerras: caos e miséria O incontrolável degelo Não vai trazer Futuro algum Não vai. O homem quer sempre mais! Mas se não faz o pão O que vai ser Dos filhos Não é dizendo não Que vão crescer Os lírios Saber doar Renunciar, dividir Devia vir de qualquer um Viver já Vamos usar essa lei Depois de tanto dano O que não falta É aviso Pra que não haja engano Posso ser mais Conciso Por uma vida em paz Tudo o que for Preciso! Juízo.(fonte: site oficial)"
Desandou,https://www.vagalume.com.br/djavan/desandou.html,Desandou Djavan Matizes Me diga já O que foi que aconteceu Você e eu Era tão bom Lembro-me bem Quando a gente se encantou Você trazia Nos olhos A lã do primeiro amor Peguei na mão Da vida eu nada mais queria Naqueles dias Imaculados E num abraço Quis roubar um beijo seu Mas você deu Foi algo! Indescritível O mais que podia Me arrebatou Mas nesse beijo Só tinha alegria Faltava dor Você foi prum lado E eu pro outro Aí desandou!...(fonte: site oficial)
Adorava Me Ver Como Seu,https://www.vagalume.com.br/djavan/adorava-me-ver-como-seu.html,"Adorava  Me  Ver  Como  Seu Djavan Matizes Será que alguém Saberá dizer Vendo de fora Como é viver Longe da mulher Que a gente adora Não há festa que chegue Pra tristeza ceder lugar Não sei se alguém Pode mensurar O que perdi De tanto sonho Que cultivei E não vivi Adorava me ver como seu Sempre adorei mas não deu Das vezes que contei Com uma virada Nada tenho a dizer Só cabeçada Cansei Time empatou Com o  Madureira Deus, o que foi que eu fiz? Nasci Pra ser o amor E ela mela o jogo Me teve E não me quis.(fonte: site oficial)"
Pedra,https://www.vagalume.com.br/djavan/pedra.html,"Pedra Djavan Matizes Sede de amor Febre de anseio Quase a escuridão Você partiu, me reduziu, Amor, me perco em lágrimas Não mais a vi, desde abril, fui pro mar E você lá deitada na pedra. Que inveja dessa pedra O que ficou, eu compreendi, Face àquela visão O que era amor inda me diz: Pena que tudo acabe... Um lance novo me despertou Desde já, só quero estar Com quem me serve E, de resto, serei breve! Nada fica em pé Pra quem se quebra numa paixão. O mundo é vão E tudo é só um oco absurdo Não mais me vejo assim Tô a pé, mas chego onde vou Revê-la só foi ruim Porque nada me causou Doeu, me ressenti Quando você me desprezou Mas hoje estou aqui: Algo como uma flor na pedra Preste a nascer.(fonte: site oficial)"
Fera,https://www.vagalume.com.br/djavan/fera.html,"Fera Djavan Matizes Você é coisa demais Que mau eu não saber lidar Com tudo isso de uma vez Eu sei, mas eu vou dar tudo Vou enfrentar um mundo assustador Pra conquistar o coração da fera Que me fere com amor Cai o sol no mar É um milagre eu não me afogar com a tarde Sou quem arde cego de paixão Abra a porta então Deixe eu pensar que por ser assim sou amado Perdido ou desejado, Estar contigo me faz tão bem É amor, bem E eu nem sei se você vai me amar Ninguém, só você, meu bem Pode fazer meu coração sofrer.(fonte: site oficial)"
Asa,https://www.vagalume.com.br/djavan/asa.html,"Asa Djavan Djavan na  Pista,  Etc A manhã me socorreu com flores e aves Suaves, soltas, em asa azul Borboletas em bando Diz que pedra não fala Que dirá se falasse Eu: "" Ama?  Me ama, Me queima na sua cama"", O veludo da fala Disse: "" Beijo, que é doce Me prende, me iguala Me rende com sua bala"". Diz que pedra não fala Que dirá se falasse Eu: "" Ama?  Me ama Me queima na sua cama"". O veludo da fala Disse: "" Beijo, que é doce Me prende, me iguala Me rende com sua bala"" Se disfarce de  Zeus De  Juruna, na deusa  Azul Se me comover Eu já sei que és tu Claridade de um novo dia Não havia sem você Você passou e eu me esqueci O que ia dizer( Refrão) O que há pra falar? Onde leva essa ladeira? Que tristes terras vencerá Um intérprete tocando  Blues?"
Azul,https://www.vagalume.com.br/djavan/azul.html,"Azul Djavan Djavan na  Pista,  Etc Eu não sei se vem de  Deus Do céu ficar azul Ou virá dos olhos teus Essa cor que azuleja o dia? Se acaso anoitecer Do céu perder o azul Entre o mar e o entardecer Alga-marinha vá na maresia Buscar ali um cheiro de azul Essa cor não sai de mim Bate e finca pé A sangue de rei Até o sol nascer amarelinho Queimando mansinho Cedinho, cedinho, cedinho, Corre e vá dizer pro meu benzinho Um dizer assim: O amor é azulzinho. Até o sol nascer amarelinho Queimando mansinho Cedinho, cedinho, cedinho Corre e vá dizer pro meu benzinho Um dizer assim: O amor é azulzinho."
Miragem,https://www.vagalume.com.br/djavan/miragem.html,"Miragem Djavan Djavan na  Pista,  Etc Com a mão de um desejo Selvagem Roubarei a seda Que o beijo guardou Só pra dar uma riqueza Pro meu amor Vivo por que te vejo Miragem Num lampejo de abelha Fazendo o mel Vou fazer no céu Do teu carinho Uma lã pro cio Na certeza De quem faz o vinho Teu calor Alucina E a pleno rigor Domina Feito uma coisa Que mata de prazer Deixa ver Se eu não morrer Te quero de novo Ando por onde vejo Miragem Um beijo passou por mim."
Sina,https://www.vagalume.com.br/djavan/sina.html,"Sina Djavan Djavan na  Pista,  Etc Pai e mãe Ouro de mina Coração Desejo e sina Tudo mais Pura rotina Jazz... Tocarei seu nome Pra poder Falar de amor Minha princesa Art nouveau Da natureza Tudo mais Pura beleza Jazz... A luz de um grande prazer É irremediável néon Quando o grito do prazer Açoitar o ar Reveillon... O luar Estrela do mar O sol e o dom Quiçá um dia A fúria, desse front Virá Lapidar o sonho Até gerar o som Como querer Caetanear O que há de bom.© 1982  Luanda  Edições  Musicais  Ltda."
Capim,https://www.vagalume.com.br/djavan/capim.html,"Capim Djavan Djavan na  Pista,  Etc Capim do  Vale  Vara de goiabeira na beira do rio paro para me benzer Mãe d' Água sai um pouquinho desse seu leito ninho que eu tenho um carinho para lhe fazer Pinheiros do  Paraná que bom tê-los como areia no mar Mangas do  Pará  Pitombeiras da  Borborema a  Ema gemeu no tronco do  Juremá Cacique perdeu mas lutou que eu vi Jari não é  Deus mas acham que sim Que fim levou o amor? Plantei um pé de flor, deu capim"
Fato Consumado,https://www.vagalume.com.br/djavan/fato-consumado.html,"Fato  Consumado Djavan Djavan na  Pista,  Etc Eu quero ver você mandar na razão Pra mim não é qualquer notícia que abala um coração Eu quero ver você mandar na razão Pra mim não é qualquer notícia que abala um coração Eu quero ver você mandar na razão Pra mim não é qualquer notícia que abala um coração Se toda hora é hora de dar decisão, eu falo agora No fundo eu julgo o mundo um fato consumado e vou embora Não quero mais, de mais a mais, me aprofundar nessa história Arreio os meus anseios, perco o veio e vivo de memória Eu quero é viver em paz Por favor me beije a boca Que louca, que louca! Eu quero é viver em paz Por favor me beije a boca Que louca, que louca!"
Se,https://www.vagalume.com.br/djavan/se.html,"Se... Djavan Djavan na  Pista,  Etc Você disse que não sabe se não Mas também não tem certeza que sim Quer saber? Quando é assim Deixa vir do coração Você sabe que eu só penso em você Você diz só que vive pensando em mim Pode ser Se é assim Você tem que largar a mão do não Soltar essa louca, arder de paixão Não há como doer pra decidir Só dizer sim ou não Mas você adora um se... Eu levo a sério mas você disfarça Você me diz à beça e eu nessa de horror E me remete ao frio que vem lá do sul Insiste em zero a zero e eu quero um a um Sei lá o que te dá, não quer meu calor São  Jorge por favor me empresta o dragão Mais fácil aprender japonês em braile Do que você decidir se dá ou não.© 1992  Luanda  Edições  Musicais  Ltda."
Soweto,https://www.vagalume.com.br/djavan/soweto.html,"Soweto Djavan Não  É  Azul  Mas  É  Mar Kinshasa, beirutemaranhãoo negro que lutepra poder sonharem mudar isso aquio poder tem tantas mãose só sabe mentirquanto mais se dize mais o povo quereleiçãoninguém esperava vera terra estremecercom o apartheiddeus salve sowetocarêcia e calornos guetosde cada canto do mundomeu amorcom tantos assuntose eu a te adorarabsurdo serianão pensar que é normalse armar todo diapara combater o malo povo votariae assim eu amareia serra, a mar éo litoraldeus salve sowetosubtrai de governoos que trairão,esses nãojá tem gente demaisa querer mandaro povo quer florescere ganhar a vida.© 1987  Luanda  Edições  Musicais  Ltda."
Bouquet,https://www.vagalume.com.br/djavan/bouquet.html,"Bouquet Djavan Não  É  Azul  Mas  É  Mar Viver tem me dado O que fazer: Quero bem... Quero pra te dar O que não tem Tudo é tão pouco Pra te merecer Já procurei não há Quando o céu precisa A lua vem Esclarece E eu longe de ti O dia nem amanhece Pisa em vez de pousar Feito a solidão Transparência de noiva E bouquet Você passa, uma graça E nada vê Na pressa de alcançar O sol O que faz o seu olhar Pra ser assim Não é azul mas é mar De tanto brilho Me deixa também brilhar Olha pra mim E eu irei descansar À sombra da vitória Gozando dessa glória Em paz..."
Me Leve,https://www.vagalume.com.br/djavan/me-leve.html,"Me  Leve Djavan Não  É  Azul  Mas  É  Mar Hoje quando eu fuite ver, meu bemlembrando as coisasmais banaisparei lá no lugarvoce já não tava maisrio de janeiro secouou não? Quem sabe eu esquecivoce noutro lugarsei lá, guaraparitudo que era azulficou downque mal não ter voce alininguémme viuchorarmas tá doendoquem mandou me seduzirse voce forme leve daquipra onde váeu agora sou seu parquando sairme leve com voceentão não vá.©1987  Luanda  Edições  Musicais  Ltda."
Florir,https://www.vagalume.com.br/djavan/florir.html,"Florir Djavan Não  É  Azul  Mas  É  Mar Quanto dá de tipra meu viver, florirentre ares de verìonão demore a virmatar a minha sedede cair na tua redepra sabero tesãoque voce évoce é um trizque vai me fazer felizvoce tem o sol na mãoilumina aquiou eu sinto medotua chama é meu segredosó eu seio tesãoque passeiquem te vee não queré loucoou azarou, azaroue não se deu bemquem te imaginouoh, oh, oh,se chamava amoroh, oh, ohe o que vou fazernasci pra te quererés o meu amor©1987  Luanda  Edições  Musicais  Ltda."
Carnaval No Rio,https://www.vagalume.com.br/djavan/carnaval-no-rio.html,Carnaval  No  Rio Djavan Não  É  Azul  Mas  É  Mar Quem vê caranão vê que horas sãojá vem passando a mãonão sou dessasque voce tá pensandovoce quer me parecerum lobãofaça favorde não me olharcomo quem quer devorardesista de vezde me conquistaro dono do meu coraçãoé puro e alemãocismou de passaro carnaval no rioe desde que lhe conheçovadiovoce é o últimoem quem pensareiágua que não bebereiquem é você? Eu não seivá procurar a sua laia© 1987  Luanda  Edições  Musicais  Ltda.
Navio,https://www.vagalume.com.br/djavan/navio.html,"Navio Djavan Não  É  Azul  Mas  É  Mar Eu amei a sua caravenha cáé um prazerouvi-la falarmusical que nem um rioque navio évoce na praiaque visìoé um abismo pro coraçãosim, pelo que vejoavoce é a mais bonitafilha da manhãsuave beijoem lábios de maçãqueria sabero que toca vocêqueria chegare poder te alcançareu quero dizerque eu queria vocêoh luz do quererminha vida é voceeu vou buscaro céu, o maro que de maisbonito hápra te presentearo céu, o maro que de maisbonito há. Composição: ( Flávia  Virginia -  Max  Frederico -  Djavan)"
Real,https://www.vagalume.com.br/djavan/real.html,"Real Djavan Não  É  Azul  Mas  É  Mar Vou sair por aíprá pensar em vocêe fazero que só deus sabedistrair meu olharme deixar conduzirdar de cara com o mare voce lá a luzirvejo vocecomo a um lugarbom de se verlivre pra correre brincarfeito um jardimtão naturalque você pra virar florsó precisados meus olhoste abracei, me perdinão vi mais nada alifui bateronde havia músicae na paz do prazereu gozei quanto quisde sonhgar com voceposso dizerque sou felizpenso em vocêna ilusão de te encontrarlouca por me procurarsî no amortudo é reale você é uma flora me prometero céu© 1987  Luanda  Edições  Musicais  Ltda. Composição:  Djavan/ Tetsuo  Sakurai"
Doidice,https://www.vagalume.com.br/djavan/doidice.html,"Doidice Djavan Não  É  Azul  Mas  É  Mar É naturalum vendavalque passa aquimais doidice aliou uma seca que arrasoupior é não te ver agoraaflora víciosclaras manhãsou tanto maisque eu possa ternada quer dizerse o teu beijo não é meucio chegandocalor explodindotemores rondando o are eu pensando em time apaixoneitalvez, pode serenlouquecinão sei, nunca vipreciso sairdepois que eu descobrique há vocênunca mais existi...©1987  Luanda  Edições  Musicais  Ltda."
Samurai,https://www.vagalume.com.br/djavan/samurai.html,"Samurai Djavan Luz Ai.... Quanto querer Cabe em meu coração Ai.... Me faz sofrer Faz que me mata E se não mata, fere Vai.... Sem me dizer Na casa da paixão Sai.... Quando bem quer Traz uma praga E me afaga a pele Crescei, luar Pra iluminar as trevas Fundas da paixão Eu quis lutar Contra o poder do amor Caí nos pés do vencedor Para ser o serviçal De um samurai Mas eu tô tão feliz! Dizem que o amor Atrai...© 1982  Luanda  Edições  Musicais  Ltda."
Nobreza,https://www.vagalume.com.br/djavan/nobreza.html,Nobreza Djavan Luz Intro:  F7+  C7+  Dm7  Am7  F6/11+  E4/7  E7 Am7/11  E7/ G#  Am7/ G  B7/ F# Nossa velha amizade nasceu F7+  C7+ De uma luz que acendeu Bm5-/7  E4/7  E7 Aos olhos de abril Am7/11  E7/ G#  Am7/ G  B7/ F# Com cuidado e espanto eu te olhei C7+  F7+  Bm5-/7  E4/7  E7 E no entanto você sorriu Am7/11  E7/ G#  Am7/ G  B7/ F# Concedendo-me a graça de ver F7+  C7+  Bm5-/7  E7 Talhado em você a nobreza de frente Em5-/7  A7 O amor se desnudando F#m5-/7  Fm6 No meio de tanta gente Am7/11  E7/ G#  Am7/ G  B7/ F# Um doce descascado pra mim F7+  C7+  Bm5-/7  E4/7  E7 Eu guardo pro fim pra comer demorado Am7/11  E7/ G#  Am7/ G  B7/ F# Uma grande amizade é assim C7+  Dm7  Bm5-/7  E7/9+ Dois homens apaixonados Am7/11  E7/ G#  Am7/ G  B7/ F# E sentir a alegria de ver F7+  C7+  Bm5-/7  E7 A mão do prazer acenando pra gente Em5-/7  A7 O amor crescendo enfim F#m5-/7  Fm6  C9  C5+/9  C7/9  C5+/9  C9
Capim,https://www.vagalume.com.br/djavan/capim.html,"Capim Djavan Djavan na  Pista,  Etc Capim do  Vale  Vara de goiabeira na beira do rio paro para me benzer Mãe d' Água sai um pouquinho desse seu leito ninho que eu tenho um carinho para lhe fazer Pinheiros do  Paraná que bom tê-los como areia no mar Mangas do  Pará  Pitombeiras da  Borborema a  Ema gemeu no tronco do  Juremá Cacique perdeu mas lutou que eu vi Jari não é  Deus mas acham que sim Que fim levou o amor? Plantei um pé de flor, deu capim"
Sina,https://www.vagalume.com.br/djavan/sina.html,"Sina Djavan Djavan na  Pista,  Etc Pai e mãe Ouro de mina Coração Desejo e sina Tudo mais Pura rotina Jazz... Tocarei seu nome Pra poder Falar de amor Minha princesa Art nouveau Da natureza Tudo mais Pura beleza Jazz... A luz de um grande prazer É irremediável néon Quando o grito do prazer Açoitar o ar Reveillon... O luar Estrela do mar O sol e o dom Quiçá um dia A fúria, desse front Virá Lapidar o sonho Até gerar o som Como querer Caetanear O que há de bom.© 1982  Luanda  Edições  Musicais  Ltda."
Banho De Rio,https://www.vagalume.com.br/djavan/banho-de-rio.html,"Banho de  Rio Djavan Luz Folha de saiãouma colcha de brimlonge um cantadorversejou pra mimfumega lampiãona paredeo sonho secouna nesga do amorhá sededias como boispassam e nem me veemah meu cantadorversejar pra que? Hoje eu tô tìo assimsem saber,prazer nenhum... Sem meu amornão tomo banho de rionem sou feliz tão cedo...© 1982  Luanda  Edições  Musicais  Ltda."
Esfinge,https://www.vagalume.com.br/djavan/esfinge.html,Esfinge Djavan Luz O mar Vazou de uma paixão Atravessou Meus olhos Encheu a minha mão Caiu no chão Em doces gotas de amor Evaporou na noite Nublou o céu de estrelas E derramou manhã Se o amor Sabe tudo fazer Pode ter um jeito De acasalar O canto do mar Com minha voz de cantor E fazer do meu canto Um brado tão fundo Que só um grande amor atinge Pra amolecer o mundo E seu coração De esfinge E seu coração De esfinge E seu coração De esfinge
Se Acontecer,https://www.vagalume.com.br/djavan/se-acontecer.html,"Se  Acontecer Djavan Vaidade As estrelas brilham sem sabermas cada vez melhorpois foi só você aparecertodas desceram pra vervocê brilharde coro que mais chamou minha atençãosua expressão sutilisso eu já não posso esquecerporque não foi só visãoo coração sentiua tenda da noiteenche de sombraum sonhar vaziopercorri tantas fontesaté ver vocêsair do nadapros meus horizontesque a manhãpura e sãcom as mãos de jasmimvá roçar seu rostopro amor ardentedespertar por mim Deus é pai, vai saberse acontecerserei seu até o fime em tempo de chuvaque chovaeu não largo da sua mãonem que caia um raioeu saiosem você na imaginação©  Ed.  Luanda  L R O-0400001"
Flor Do Medo,https://www.vagalume.com.br/djavan/flor-do-medo.html,"Flor do  Medo Djavan Vaidade Venha me beijar de uma vez Você pensa demais pra decidir Venha a mim de corpo e alma Libera e deixa o que for nos unir Não vá fugir mais uma vez Vença a falta de ar que a flor do medo traz Tente pensar Pode até ser mal e tal Mas pode até ser que seja demais Tudo vai mudar Posso pressentir Você vai lembrar e rir Alguma dor que não vai matar ninguém Pode ser vista, nos rondar Não precisa se assustar Isso é clamor De amor Venha me beijar de uma vez Feito nuvem no ar sem aflição Vem a mim de corpo e alma Libera a paz do meu coração Não vá se perder outra vez Nesse mesmo lugar por onde já passou Tente pensar Pode até ser sonho e tal É, mas pode até ser que seja o amor Tudo vai mudar Posso pressentir Você vai lembrar e rir Alguma dor que não vai matar ninguém Pode ser vista, nos rondar Não precisa se assustar Isso é clamor De amor Venha me beijar de uma vez Feito nuvem no ar sem aflição Vem a mim de corpo e alma Libera a paz do meu coração Não vá se perder outra vez Nesse mesmo lugar por onde já passou Tente pensar Pode até ser sonho e tal É, mas pode até ser que seja o amor"
Sentimento Verdadeiro,https://www.vagalume.com.br/djavan/sentimento-verdadeiro.html,Sentimento  Verdadeiro Djavan Vaidade Pode ser quem for Nasceu pra ter amor Só não sabe quando ele virá Se é cerca de flor Ou jogo de azar Só quem tem amor sabe contar Um sentimento verdadeiro Passa a céu e chão Faz do tormento passageiro Do coração Vive por si Sempre aprendendo a existir Quase não pensa no que faz Quando é pra se dar Tão querido quanto nada mais É o que há Sem se conter Ou é tudo ou não dá pra ser Vaga entre o lírio da luz solar E a agonia do quebra mar Forjado em um tesouro Que não existe pra se encontrar Como um amigo estende a mão Tingida de solidão
Amor Algum,https://www.vagalume.com.br/djavan/amor-algum.html,"Amor  Algum Djavan Vaidade Lua, que vai pela noite Olha aqui pra mim Vira essa minha sorte E faz eu ser mais feliz Todas as estradas que andei Naum me trouxeram Jamais amor algum Me traz um E eu te apresentarei Ao céu azul Pra que eu não veja Nada sem cor E o sol raiar Sem amor Pra que eu não veja o tempo passar No desespero E nada de me apaixonar Não sobreviverei Serei fácl de achar Sem coleira, atacando Insensibilidade Tô pronto pra esbanjar Toda vez que eu for sair Uaa U!  Que delírio o meu O que eu quero é amar Nem que o amor não seja eu"
Vaidade,https://www.vagalume.com.br/djavan/vaidade.html,Vaidade Djavan Vaidade Vem Pois já nasce o dia Esqueçamos tudo de ontem O que eu não faria Para apagar o que eu disse de nós dois O individuo exaltado fala pelos cotovelos Acaba se descontrolando e desse jeito é impossível não ferir Eu que sempre vi você sorrindo nos meus braços Não a me iluminar os lábios Mais esquivos dos meus traços Feriu-me de vaidade cada verdade dura Você disse o que era pra dizer E eu falei só loucura Por favor volta aí que eu vou fazer de tudo para me redimir
Dia Azul,https://www.vagalume.com.br/djavan/dia-azul.html,"Dia  Azul Djavan Vaidade Tu somente tu Irás converter a neve em dia azul Basta um olhar e o gelo pega fogo Meu estado é luz Num outro mundo... Em todo lugar Eu me sentirei infindo por te amar A sensação é de poder tudo E ter amor Por todo  Mundo Tudo bem Se o céu dos teus olhos mentir E eu possa a vir Como a  Eva a passar desilusão Mas se não e for realidade o que diz O teu olhar de amor Sair do teu comando, nem de vez em quando Eu não saberia O que faria Posso até dizer O quanto tudo é bem maior por te querer Viver é mais do que sair salvando o que pode E com amor A vida explode Tudo bem Se o céu dos teus olhos mentir E eu possa a vir Como a  Eva a passar desilusão Mas se não e for realidade o que diz O teu olhar de amor Sair do teu comando, nem de vez em quando Eu não saberia O que faria Posso até dizer O quanto tudo é bem maior por te querer Viver é mais do que sair salvando o que pode E com amor A vida explode"
Bailarina,https://www.vagalume.com.br/djavan/bailarina.html,"Bailarina Djavan Vaidade A cada pirueta que você dá Um tom de violeta Inunda o seu bailar Fico encantado ao vê-la voar Em seu grand-jetê  Como eu queria ser o seu par Queria o meu destino Junto ao seu dom E o estilo  Manuelino No que tem de bom Pra erigir um belo altar Na intenção de intronizá-la No lugar de uma  Deusa Sou um barco navegando Alto-mar por você A me desbravar sem medo Com um desejo incontido Invadindo a canção Crepuscular estação Do amor não correspondido Tal como o sol No arrebol Eu morro com vida Plié aqui Jeté ali Socorro, querida Quero viver Só pra você De hoje Pra sempre"
Celeuma,https://www.vagalume.com.br/djavan/celeuma.html,"Celeuma Djavan Vaidade Não me deixe sem me ouvir falar Não me faça um troço desse Depois não adianta mãe prá ajudar É bronca pra ninguém resolver Sem você seria pobre e infeliz E essa tal eu mal conheço Pois nem que eu estivesse fora de mim Jamais iria com essa aí Por um nada você paga E quem acaba no sal sou eu Sai comprando sem olhar O que essa gente quer vender Encrencado, acusado Por uma falta que não condiz Eu prefiro morrer A dar ouvido a celeuma E lhe perder"
