MUSICA,LINKS,TEXTO
Meu Romance,https://www.vagalume.com.br/djavan/meu-romance.html,Meu  Romance Djavan Vesúvio Tu és meu romance Com toda nuance De um esplendor Serás a primeira E única bandeira De um grande amor E eu sinto o efeito Do ar rarefeito Quando longe estou Eu só sei de mim Pelo teu olhar O que não vem de ti Não me alcançará Onde você vai Sempre me encontrei No topo da paz Ser de quem nos quer é ter Amar a quem se quer é ser Eu sou por amar você Tu és meu romance Com toda nuance De um esplendor Serás a primeira E única bandeira De um grande amor E eu sinto o efeito Do ar rarefeito Quando longe estou Eu só sei de mim Pelo teu olhar O que não vem de ti Não me alcançará Onde você vai Sempre me encontrei No topo da paz Ser de quem nos quer é ter Amar a quem se quer é ser Eu sou por amar você
Entre Outras Mil,https://www.vagalume.com.br/djavan/entre-outras-mil.html,"Entre  Outras  Mil Djavan Vesúvio O passarinho deixou o ninho cheio de esperança Hoje vaga na lembrança O encanto se quebrou Ficou assim, não mais voou e nem mais nada Com a asa machucada E o coração sem amor Eis-me aqui E, de novo, sempre a correr igual ao povo Em busca de alguém que me queira bem Sendo como eu sou Que seja alguém com perfil Peculiar, entre outras mil Quiçá até me venha a chamar de seu E eu poder dizer que o mundo é meu O passarinho deixou o ninho cheio de esperança Hoje vaga na lembrança O encanto se quebrou Ficou assim, não mais voou e nem mais nada Com a asa machucada E o coração sem amor Eis-me aqui E, de novo, sempre a correr igual ao povo Em busca de alguém que me queira bem Sendo como eu sou Que seja alguém com perfil Peculiar, entre outras mil Quiçá até me venha a chamar de seu E eu poder dizer que o mundo é meu E eu poder dizer que o mundo é meu"
Um Quase Amor,https://www.vagalume.com.br/djavan/um-quase-amor.html,"Um  Quase  Amor Djavan Vesúvio Você me pede pra manter segredo Sobre o que não aconteceu Que eu nada tente dizer Do que não houve entre você e eu Jogando luzes sobre os mínimos detalhes De algo que não se confirmou Denunciando o nascer De um quase amor Tudo era quase Talvez, quem sabe Ou não E nada era tão ou tal Que pudesse ser prazeroso Era algo assim bem acintoso Um desuso que cresceu No meio do nada Uma cena de amor que ficou lá congelada Você me pede pra manter segredo Sobre o que não aconteceu Que eu nada tente dizer Do que não houve entre você e eu Jogando luzes sobre os mínimos detalhes De algo que não se confirmou Denunciando o nascer De um quase amor Tudo era quase Talvez, quem sabe Ou não E nada era tão ou tal Que pudesse ser prazeroso Era algo assim bem acintoso Um desuso que cresceu No meio do nada Uma cena de amor que ficou lá congelada Você me pede pra manter segredo Sobre o que não aconteceu Que eu nada tente dizer Do que não houve entre você e eu Jogando luzes sobre os mínimos detalhes De algo que não se confirmou Denunciando o nascer De um quase amor"
Vida Nordestina,https://www.vagalume.com.br/djavan/vida-nordestina.html,"Vida  Nordestina Djavanvidas pra contar A vida não é de festa Para o povo do sertão Mas até quem não tem empresta Dá a mão A vida é mais dolorida Pra esse povo sofredor Mesmo assim só se vê perdida De amor Até o lar onde falta o pão Tem lá seus dias de alegria Ao abrigar uma novena Pra fazer oração A fé do povo é o que há de seu Sem ela tudo vai ser pior Nem roça, nem gado Existem sem  Deus Mas quando é dia de festa Todo povo do sertão Dança para aparar as arestas Do coração As moças já tão bonitas Ficam lindas como quê E o homem nem acredita No que vê Vestindo igreja e palácio Coroa e catedral Para o reisado se dançar Chegança e pastoril Se dança pelo  Natal Dia de reis é o final Coco de roda e toré Orgulho da região Que agradava a  Lampião Guerreiro e maracatu Quadrilha e bumba-meu-boi E só saudade Depois"
Encontrar-Te,https://www.vagalume.com.br/djavan/encontrar-te.html,"Encontrar- Te Djavanvidas pra contar Qualquer lugar Em que eu vá Encontrar-te Com o desejo À flor da pele Por fim Destacaria o teu agir E o modo de sentir Como sendo vitais Pra mim Não é possível Descrever Como me encantas Mais que o outono Faz com os vales De abril Tu tens a natureza Aos pés Por isso é que tu és Estrela, mesmo Em céu de anil Há paixão nos ares Mas só no amor Se vai longe Seja eu de mais ninguém Não é porque queres Que é só teu O meu pensamento Sei que tenho A ti também O espetáculo em teu olhar Fez escândalo A boca é farta Entre beijar e dizer Não faço nada sem te ouvir E há muito decidi Amar-te enquanto Eu viver"
Primazia,https://www.vagalume.com.br/djavan/primazia.html,"Primazia Djavanvidas pra contar Fique assim, assim Dê continuidade à mulher Que me faz tão bem como é Que vem no meio da noite Procurar o que quer Seja assim, assim Sempre uma pessoa do bem Que amar é tudo o que tem Porque maior doçura Não existe em ninguém Sou estável Mas, sem ti não sei quem sou Me enamorei e é pra casar Primazia De quem tem um grande amor É escolher Viver como for! És o mar em mim Vago em tuas sendas azuis Só para perder-me em ti É embriagador Quando me conduzes Tudo fosse assim Ninguém saberia sofrer Nem se poderia supor Um mar de ilusão Onde se debater Sou estável Mas, sem ti, não sei quem sou Me enamorei e é pra casar Primazia De quem tem um grande amor É escolher Viver como for"
O Tal do Amor,https://www.vagalume.com.br/djavan/o-tal-do-amor.html,"O  Tal do  Amor Djavanvidas pra contar Me vejo ao seu lado Com o ego inflado Eu vivo a querer O seu amor Seja como for Teu beijo ardente Não sai da mente E o meu coração Não sabe o que é ilusão Se eu lhe chamar Você não olhar Vai me pesar, mas voa E eu espero “na boa” Sorrir pra mim É quase um jardim Onde pássaros voam E entidades atuam Pro bem querer o bem Se unificar E assombrar a dor Pra estarmos juntos Em nome do tal Do amor"
Aridez,https://www.vagalume.com.br/djavan/aridez.html,"Aridez Djavanvidas pra contar Atravesso o deserto escuro Pra fugir da solidão Você que é meu farol Não deixe eu me perder, não É você quem há de me tirar Dessa tremenda aridez Você que me faz sonhar Veja o que faz dessa vez Sonhador, devagar ou voando Chego lá! De sonhar, eu sei Que já nem vivo mais E mesmo amando só A esperança não se desfaz O amor chega a ser um pecado De tão bom É a paz forjada Por conflitos mil Abalos pontuais Quando se ama, vive-se mais Quantos beijos Poderíamos ter dado E os encantados dias Que como tudo indica Seriam Não faz mal Você é água da fonte Que irriga um coração Feito pra bater Pra sempre por você Amor!"
Vidas Pra Contar,https://www.vagalume.com.br/djavan/vidas-pra-contar.html,Vidas  Pra  Contar Djavanvidas pra contar No correr da noite Tudo é espreita Destemidos Vaga-lumes luz-sombreiam Semiescondidos Muitos morreram Puros Sem ver a manhã À sombra da noite Nos palacetes Dormem odaliscas Em seus retretes Serão mocinhas De sonhos verdes Puras Na luz da manhã Fui ver vidas pra contar Enquanto o sono incerto Não vem Acolher Na noite eu perdi meu olhar Imagens não param De referir E envolver Não é natural Mas fazia bem Não estar perdido Por ninguém
Dona do Horizonte,https://www.vagalume.com.br/djavan/dona-do-horizonte.html,"Dona do  Horizonte Djavanvidas pra contar Eu já nasci Minha mãe quem diz Predestinado ao canto Ela falou Que eu tinha o dom Quando eu estava Na soleira Dos meus poucos anos! Foi indo assim, quando dei por mim Já não fazia outra coisa Cantava ali, só pra ela ouvir E me dizer coisas tão boas Por exemplo Quero vê-lo o mais querido Como nosso  Orlando Hei de ler seu nome escrito Em placa de avenida Não vai mudar, toda mãe é assim Mãe é o nome do amor! Logo cresci Minha mãe ali Dona do horizonte Me fez ouvir Dalva de  Oliveira E  Angela  Maria todo dia Deusas que adorava Tinha prazer Em me levar pra ver Luiz  Gonzaga cantar Não sem deixar De advertir Pra que eu estudasse sempre mais E sem descanso Quero vê-lo o mais querido Como nosso  Orlando Hei de ler seu nome escrito Em placa de avenida Não vai mudar, toda mãe é assim Mãe é o nome do amor!"
